发现 356 条 name_en 含中文的异常记录：

id       name_zh                        name_en                        country_code
--------------------------------------------------------------------------------
5335     深圳市                            深圳市                            CN
5337     南昌市                            南昌市                            CN
5339     广州市                            广州市                            CN
5340     甘孜藏族自治州                        甘孜藏族自治州                        CN
5345     阿坝藏族羌族自治州                      阿坝藏族羌族自治州                      CN
5347     济南市                            济南市                            CN
5348     泰州市                            泰州市                            CN
5349     海淀区                            海淀区                            CN
5350     乐山市                            乐山市                            CN
5353     成都市                            成都市                            CN
5360     荃湾区                            荃湾区                            CN
5361     观塘区                            观塘区                            CN
5362     九龙城区                           九龙城区                           CN
5363     中华人民共和国港深西部公路                  中华人民共和国港深西部公路                  CN
5364     西贡区                            西贡区                            CN
5365     厦门市                            厦门市                            CN
5366     汕尾市                            汕尾市                            CN
5368     漳州市                            漳州市                            CN
5371     屯门区                            屯门区                            CN
5372     元朗区                            元朗区                            CN
5373     北区                             北区                             CN
5374     油尖旺区                           油尖旺区                           CN
5375     葵青区                            葵青区                            CN
5377     惠州市                            惠州市                            CN
5378     东莞市                            东莞市                            CN
5381     珠海市                            珠海市                            CN
5382     呼伦贝尔市                          呼伦贝尔市                          CN
5383     唐山市                            唐山市                            CN
5385     武汉市                            武汉市                            CN
5388     咸宁市                            咸宁市                            CN
5389     黄浦区                            黄浦区                            CN
5391     荆州市                            荆州市                            CN
5393     仙桃市                            仙桃市                            CN
5394     张家界市                           张家界市                           CN
5396     黄冈市                            黄冈市                            CN
5399     神农架林区                          神农架林区                          CN
5400     萍乡市                            萍乡市                            CN
5402     延庆区                            延庆区                            CN
5403     万州区                            万州区                            CN
5405     西城区                            西城区                            CN
5406     六安市                            六安市                            CN
5407     恩施土家族苗族自治州                     恩施土家族苗族自治州                     CN
5409     阿拉善盟                           阿拉善盟                           CN
5410     湘西土家族苗族自治州                     湘西土家族苗族自治州                     CN
5411     银川市                            银川市                            CN
5412     安庆市                            安庆市                            CN
5413     吉林市                            吉林市                            CN
5414     延边朝鲜族自治州                       延边朝鲜族自治州                       CN
5415     牡丹江市                           牡丹江市                           CN
5418     哈尔滨市                           哈尔滨市                           CN
5421     松江区                            松江区                            CN
5422     闵行区                            闵行区                            CN
5423     静安区                            静安区                            CN
5424     徐汇区                            徐汇区                            CN
5425     长宁区                            长宁区                            CN
5426     浦东新区                           浦东新区                           CN
5428     宜昌市                            宜昌市                            CN
5429     上饶市                            上饶市                            CN
5430     景德镇市                           景德镇市                           CN
5431     贵港市                            贵港市                            CN
5432     柳州市                            柳州市                            CN
5435     福州市                            福州市                            CN
5437     抚州市                            抚州市                            CN
5443     中西区                            中西区                            CN
5444     丽江市                            丽江市                            CN
5445     海西蒙古族藏族自治州                     海西蒙古族藏族自治州                     CN
5446     乌鲁木齐市                          乌鲁木齐市                          CN
5448     西安市                            西安市                            CN
5452     伊犁哈萨克自治州                       伊犁哈萨克自治州                       CN
5454     三亚市                            三亚市                            CN
5456     喀什地区                           喀什地区                           CN
5457     咸阳市                            咸阳市                            CN
5458     昌吉回族自治州                        昌吉回族自治州                        CN
5459     阿克苏地区                          阿克苏地区                          CN
5461     朝阳区                            朝阳区                            CN
5462     渝中区                            渝中区                            CN
5463     两江新区                           两江新区                           CN
5464     南岸区                            南岸区                            CN
5465     烟台市                            烟台市                            CN
5471     辽源市                            辽源市                            CN
5472     长春市                            长春市                            CN
5476     白山市                            白山市                            CN
5479     洛阳市                            洛阳市                            CN
5481     焦作市                            焦作市                            CN
5485     迪庆藏族自治州                        迪庆藏族自治州                        CN
5492     渭南市                            渭南市                            CN
5495     商洛市                            商洛市                            CN
5496     西双版纳傣族自治州                      西双版纳傣族自治州                      CN
5497     凉山彝族自治州                        凉山彝族自治州                        CN
5498     怀柔区                            怀柔区                            CN
5499     杭州市                            杭州市                            CN
5501     铜川市                            铜川市                            CN
5502     嘉兴市                            嘉兴市                            CN
5504     宝鸡市                            宝鸡市                            CN
5512     绵阳市                            绵阳市                            CN
5513     石家庄市                           石家庄市                           CN
5516     大连市                            大连市                            CN
5522     荣昌区                            荣昌区                            CN
5531     东城区                            东城区                            CN
5534     三门峡市                           三门峡市                           CN
5535     南京市                            南京市                            CN
5536     郑州市                            郑州市                            CN
5540     太原市                            太原市                            CN
5543     玉林市                            玉林市                            CN
5544     韶关市                            韶关市                            CN
5548     佛山市                            佛山市                            CN
5551     威海市                            威海市                            CN
5552     昌平区                            昌平区                            CN
5554     汉中市                            汉中市                            CN
5555     周口市                            周口市                            CN
5558     中山市                            中山市                            CN
5559     金华市                            金华市                            CN
5560     赣州市                            赣州市                            CN
5561     枣庄市                            枣庄市                            CN
5563     泉州市                            泉州市                            CN
5567     台州市                            台州市                            CN
5568     绍兴市                            绍兴市                            CN
5571     徐州市                            徐州市                            CN
5579     孝感市                            孝感市                            CN
5581     黄石市                            黄石市                            CN
5588     温州市                            温州市                            CN
5589     曲靖市                            曲靖市                            CN
5590     乌兰察布市                          乌兰察布市                          CN
5591     呼和浩特市                          呼和浩特市                          CN
5592     石景山区                           石景山区                           CN
5594     青岛市                            青岛市                            CN
5599     昆明市                            昆明市                            CN
5601     沈阳市                            沈阳市                            CN
5604     大理白族自治州                        大理白族自治州                        CN
5614     通化市                            通化市                            CN
5615     沧州市                            沧州市                            CN
5616     红桥区                            红桥区                            CN
5617     和平区                            和平区                            CN
5618     东营市                            东营市                            CN
5619     秦皇岛市                           秦皇岛市                           CN
5621     静海区                            静海区                            CN
5622     滨州市                            滨州市                            CN
5623     河东区                            河东区                            CN
5627     巴彦淖尔市                          巴彦淖尔市                          CN
5628     张家口市                           张家口市                           CN
5629     双鸭山市                           双鸭山市                           CN
5630     佳木斯市                           佳木斯市                           CN
5632     丰都县                            丰都县                            CN
5634     酒泉市                            酒泉市                            CN
5635     哈密市                            哈密市                            CN
5641     克孜勒苏柯尔克孜自治州                    克孜勒苏柯尔克孜自治州                    CN
5644     塔城地区                           塔城地区                           CN
5651     海口市                            海口市                            CN
5652     湖州市                            湖州市                            CN
5653     济宁市                            济宁市                            CN
5660     黄山市                            黄山市                            CN
5665     丰台区                            丰台区                            CN
5666     滁州市                            滁州市                            CN
5669     蚌埠市                            蚌埠市                            CN
5675     顺义区                            顺义区                            CN
5678     奉贤区                            奉贤区                            CN
5679     嘉定区                            嘉定区                            CN
5680     三明市                            三明市                            CN
5686     莆田市                            莆田市                            CN
5688     赤峰市                            赤峰市                            CN
5691     承德市                            承德市                            CN
5693     丽水市                            丽水市                            CN
5695     宝山区                            宝山区                            CN
5701     南平市                            南平市                            CN
5702     宁德市                            宁德市                            CN
5704     新余市                            新余市                            CN
5705     宜春市                            宜春市                            CN
5706     龙岩市                            龙岩市                            CN
